iter	Passed	Remaining
0	144	28747
1	145	14429
2	147	9666
3	148	7279
4	149	5846
5	151	4885
6	152	4203
7	154	3697
8	155	3298
9	156	2978
10	158	2720
11	159	2501
12	161	2317
13	162	2156
14	163	2017
15	165	1901
16	166	1796
17	168	1700
18	169	1616
19	171	1539
20	172	1470
21	174	1407
22	175	1349
23	176	1296
24	178	1248
25	179	1202
26	181	1162
27	183	1125
28	184	1088
29	186	1054
30	187	1022
31	189	992
32	190	963
33	191	937
34	193	911
35	194	887
36	196	863
37	197	842
38	199	822
39	200	803
40	202	784
41	203	766
42	205	749
43	207	733
44	208	718
45	210	703
46	211	689
47	213	675
48	214	662
49	216	649
50	218	637
51	219	625
52	221	614
53	223	603
54	224	593
55	226	582
56	228	572
57	229	562
58	231	553
59	233	544
60	234	534
61	236	525
62	237	517
63	239	508
64	240	500
65	242	492
66	244	484
67	245	477
68	247	469
69	249	462
70	250	455
71	252	448
72	254	442
73	255	435
74	257	428
75	258	422
76	260	416
77	262	410
78	263	403
79	265	398
80	267	392
81	268	386
82	270	381
83	272	375
84	273	370
85	275	365
86	277	360
87	279	355
88	280	349
89	282	345
90	284	340
91	285	335
92	287	330
93	289	326
94	291	321
95	292	317
96	294	312
97	296	308
98	298	304
99	300	300
100	301	295
101	303	291
102	304	287
103	306	282
104	308	278
105	309	274
106	311	270
107	313	266
108	314	262
109	316	259
110	318	255
111	320	251
112	321	247
113	323	244
114	325	240
115	326	236
116	328	232
117	329	229
118	331	225
119	333	222
120	334	218
121	336	215
122	337	211
123	339	208
124	341	204
125	342	201
126	344	197
127	346	194
128	348	191
129	349	188
130	351	185
131	353	181
132	354	178
133	356	175
134	358	172
135	359	169
136	361	166
137	363	163
138	364	160
139	366	157
140	368	154
141	370	151
142	371	148
143	373	145
144	374	142
145	376	139
146	378	136
147	379	133
148	381	130
149	383	127
150	385	124
151	386	122
152	388	119
153	390	116
154	392	113
155	394	111
156	395	108
157	397	105
158	399	102
159	400	100
160	402	97
161	403	94
162	405	92
163	406	89
164	408	86
165	410	84
166	411	81
167	413	78
168	414	76
169	416	73
170	417	70
171	419	68
172	421	65
173	422	63
174	424	60
175	426	58
176	427	55
177	429	53
178	430	50
179	432	48
180	434	45
181	435	43
182	437	40
183	438	38
184	440	35
185	442	33
186	443	30
187	445	28
188	447	26
189	449	23
190	451	21
191	453	18
192	454	16
193	456	14
194	458	11
195	459	9
196	461	7
197	463	4
198	465	2
199	466	0
